item_name,occurrence_count,win_count,Category,champion,total_games_champion,role
TrinityForce,8177,4039,Full Item,Gnar,8719,TOP
Trinity Force,7177,4039,Full Item,Gnar,8719,TOP
Stealth Ward,7009,3840,Trinket,Gnar,8719,TOP
Black Cleaver,5095,2970,Full Item,Gnar,8719,TOP
Plated Steelcaps,4782,2705,Boots,Gnar,8719,TOP
0,3246,1626,,Gnar,8719,TOP
Mercury's Treads,2914,1563,Boots,Gnar,8719,TOP
Doran's Blade,2854,1561,Starter Item,Gnar,8719,TOP
Sterak's Gage,2810,1771,Full Item,Gnar,8719,TOP
Wit's End,1828,1096,Full Item,Gnar,8719,TOP
Ruby Crystal,1327,658,Component,Gnar,8719,TOP
Randuin's Omen,1241,704,Full Item,Gnar,8719,TOP
Farsight Alteration,1187,665,Trinket,Gnar,8719,TOP
Tunneler,1032,598,Component,Gnar,8719,TOP
Negatron Cloak,956,515,Component,Gnar,8719,TOP
Thornmail,950,546,Full Item,Gnar,8719,TOP
Doran's Shield,813,413,Starter Item,Gnar,8719,TOP
Pickaxe,763,451,Component,Gnar,8719,TOP
Phage,762,343,Component,Gnar,8719,TOP
Long Sword,757,372,Component,Gnar,8719,TOP
Bramble Vest,689,368,Component,Gnar,8719,TOP
Warden's Mail,579,301,Component,Gnar,8719,TOP
Refillable Potion,565,262,Consumable,Gnar,8719,TOP
Oracle Lens,512,283,Trinket,Gnar,8719,TOP
Recurve Bow,484,268,Component,Gnar,8719,TOP
"Jak'Sho, The Protean",484,289,Full Item,Gnar,8719,TOP
Force of Nature,481,287,Full Item,Gnar,8719,TOP
Giant's Belt,467,259,Component,Gnar,8719,TOP
Boots of Swiftness,438,250,Boots,Gnar,8719,TOP
Cloth Armor,437,240,Component,Gnar,8719,TOP
Stridebreaker,348,203,Full Item,Gnar,8719,TOP
Blade of The Ruined King,341,205,Full Item,Gnar,8719,TOP
Control Ward,335,194,Consumable,Gnar,8719,TOP
Executioner's Calling,329,157,Component,Gnar,8719,TOP
Null-Magic Mantle,316,178,Component,Gnar,8719,TOP
Chain Vest,289,164,Component,Gnar,8719,TOP
Sundered Sky,288,187,Full Item,Gnar,8719,TOP
Caulfield's Warhammer,248,117,Component,Gnar,8719,TOP
Boots,221,83,Boots,Gnar,8719,TOP
Dagger,215,93,Component,Gnar,8719,TOP
Winged Moonplate,210,128,Component,Gnar,8719,TOP
Kindlegem,207,91,Component,Gnar,8719,TOP
Hullbreaker,200,110,Full Item,Gnar,8719,TOP
Kaenic Rookern,188,113,Full Item,Gnar,8719,TOP
Heartsteel,179,95,Full Item,Gnar,8719,TOP
Glowing Mote,164,70,Consumable,Gnar,8719,TOP
Cull,163,73,Starter Item,Gnar,8719,TOP
Hearthbound Axe,128,39,Component,Gnar,8719,TOP
Chempunk Chainsword,127,76,Full Item,Gnar,8719,TOP
Vampiric Scepter,116,64,Component,Gnar,8719,TOP
Maw of Malmortius,112,62,Full Item,Gnar,8719,TOP
Warmog's Armor,107,62,Full Item,Gnar,8719,TOP
Sheen,103,32,Component,Gnar,8719,TOP
Dead Man's Plate,102,69,Full Item,Gnar,8719,TOP
Berserker's Greaves,102,63,Boots,Gnar,8719,TOP
Death's Dance,91,57,Full Item,Gnar,8719,TOP
Spectre's Cowl,72,31,Component,Gnar,8719,TOP
Ionian Boots of Lucidity,70,34,Boots,Gnar,8719,TOP
Tiamat,69,37,Component,Gnar,8719,TOP
Iceborn Gauntlet,67,33,Full Item,Gnar,8719,TOP
Steel Sigil,64,38,Component,Gnar,8719,TOP
Guinsoo's Rageblade,63,45,Full Item,Gnar,8719,TOP
Phantom Dancer,63,45,Full Item,Gnar,8719,TOP
Overlord's Bloodmail,54,30,Full Item,Gnar,8719,TOP
Hollow Radiance,51,28,Full Item,Gnar,8719,TOP
Hexdrinker,50,24,Component,Gnar,8719,TOP
Frozen Heart,49,26,Full Item,Gnar,8719,TOP
Kraken Slayer,45,33,Full Item,Gnar,8719,TOP
Spirit Visage,38,25,Full Item,Gnar,8719,TOP
Guardian Angel,36,22,Full Item,Gnar,8719,TOP
Spear of Shojin,34,16,Full Item,Gnar,8719,TOP
Terminus,32,18,Full Item,Gnar,8719,TOP
Unending Despair,32,21,Full Item,Gnar,8719,TOP
Profane Hydra,30,13,Full Item,Gnar,8719,TOP
Ravenous Hydra,30,16,Full Item,Gnar,8719,TOP
Health Potion,29,14,Consumable,Gnar,8719,TOP
B. F. Sword,28,19,Component,Gnar,8719,TOP
Mortal Reminder,27,16,Full Item,Gnar,8719,TOP
Sunfire Aegis,26,13,Full Item,Gnar,8719,TOP
Crystalline Bracer,25,12,Component,Gnar,8719,TOP
Bloodthirster,24,14,Full Item,Gnar,8719,TOP
Immortal Shieldbow,24,20,Full Item,Gnar,8719,TOP
Abyssal Mask,23,12,Full Item,Gnar,8719,TOP
Infinity Edge,23,11,Full Item,Gnar,8719,TOP
Liandry's Torment,23,9,Full Item,Gnar,8719,TOP
The Collector,22,9,Full Item,Gnar,8719,TOP
Zeal,18,8,Component,Gnar,8719,TOP
Rectrix,17,12,Component,Gnar,8719,TOP
Titanic Hydra,15,8,Full Item,Gnar,8719,TOP
Zephyr,14,7,Full Item,Gnar,8719,TOP
